DIB_CUST_ID,spend_1,spend_2,spend_3,spend_4,spend_5,spend_6,spend_7,visit_1,visit_2,visit_3,visit_4,visit_5,visit_6,visit_7,mean_s,mean_v,var_s,var_v,y
9.93E+14,0,0,3.28,4.96,0,0,64.35,0,0,4,6,0,0,8,10.37,2.571428571,570.5873667,11.61904762,0
9.93E+14,16.92,52.07,51.8,90.05,89.93,34.12,73.65,16,40,40,41,57,18,46,58.36285714,36.85714286,770.3589905,219.4761905,1
9.93E+14,0,0,0,46.74,0,0,18.93,0,0,0,13,0,0,9,9.381428571,3.142857143,321.1490143,30.14285714,0
9.93E+14,84.47,36.52,152.63,72.24,52.18,49.88,122.64,53,20,68,27,29,26,54,81.50857143,39.57142857,1788.205281,338.952381,1
9.93E+14,5.23,6.45,24.24,8.01,10.8,13.29,94.31,8,8,9,8,4,13,56,23.19,15.14285714,1023.983433,331.4761905,1
9.93E+14,99.81,77.56,39.82,74.8,59.99,44.14,55.75,49,48,32,26,25,23,26,64.55285714,32.71428571,440.6607905,123.9047619,1
9.93E+14,0,20.55,0,2.37,0,0,0.21,0,15,0,3,0,0,2,3.304285714,2.857142857,58.58922857,30.14285714,1
9.93E+14,46.69,13.71,37.02,40.48,0,24.44,69.13,20,13,19,26,0,15,38,33.06714286,18.71428571,516.5416571,137.2380952,1
9.93E+14,0,0,13.41,17.32,5.38,22.53,13.85,0,0,13,7,4,7,4,10.35571429,5,76.2487619,20.66666667,1
9.93E+14,0,0,0,0,0,0,57.93,0,0,0,0,0,0,48,8.275714286,6.857142857,479.4121286,329.1428571,0
9.93E+14,137.9,74.82,119.62,102.31,98.38,141.56,164.67,111,68,98,85,74,129,124,119.8942857,98.42857143,933.7185952,574.952381,1
9.93E+14,0,0,0,0,1.52,16.86,15.54,0,0,0,0,2,14,10,4.845714286,3.714285714,60.61582857,33.9047619,1
9.93E+14,0,0,5.91,1.28,0,11.39,10.8,0,0,5,2,0,11,12,4.197142857,4.285714286,26.60442381,27.57142857,0
9.93E+14,5.78,11.43,4.41,0,25.59,0,31.23,5,10,5,0,13,0,23,11.20571429,8,155.7810286,66.66666667,0
9.93E+14,0,13.1,0,0,0,0,3.61,0,10,0,0,0,0,2,2.387142857,1.714285714,24.12549048,13.9047619,0
9.93E+14,101.71,122.67,116.92,118.63,175.69,67.31,131.25,63,73,80,68,117,53,84,119.1685714,76.85714286,1058.725348,421.1428571,1
9.93E+14,41.61,78.31,63.9,68.91,72.14,39.52,45.07,27,44,31,40,37,20,28,58.49428571,32.42857143,256.9818286,69.61904762,1
9.93E+14,0,63,10.31,67.46,100.93,105.21,123.47,0,35,7,36,67,68,55,67.19714286,38.28571429,2253.134257,741.2380952,0
9.93E+14,0,0,0,0,0,0,2.55,0,0,0,0,0,0,2,0.364285714,0.285714286,0.928928571,0.571428571,0
9.93E+14,0,0,33.47,0,0,0,23.72,0,0,18,0,0,0,11,8.17,4.142857143,202.6061667,54.14285714,0
9.93E+14,110.21,56.75,94.53,59.22,85.07,86.03,99.52,69,27,42,36,44,46,44,84.47571429,44,399.8346619,164.3333333,1
9.93E+14,0,0,0,0,44.96,15.81,10.99,0,0,0,0,33,12,9,10.25142857,7.714285714,276.0825476,149.5714286,0
9.93E+14,0,0,0,0,3.34,3.09,3.41,0,0,0,0,5,5,4,1.405714286,2,3.083261905,6.333333333,0
9.93E+14,0,0,0,5.11,0,5.19,10.31,0,0,0,4,0,7,10,2.944285714,3,16.4437619,17,0
9.93E+14,151.83,79.8,99.07,131.62,135.74,133.12,45.72,60,41,44,59,45,51,19,110.9857143,45.57142857,1428.479529,191.2857143,1
9.93E+14,0,0,0,0,0,0,13.15,0,0,0,0,0,0,9,1.878571429,1.285714286,24.70321429,11.57142857,1
9.93E+14,13.51,11.33,44.14,70.25,0,22.93,10.46,10,5,31,27,0,15,7,24.66,13.57142857,595.4464,133.2857143,0
9.93E+14,6,0,10.27,2.05,12.63,0,13.11,5,0,13,3,10,0,7,6.294285714,5.428571429,33.28969524,24.28571429,1
9.93E+14,0,16.48,24.48,34.76,18.37,22.89,18.68,0,18,31,33,28,34,30,19.38,24.85714286,110.0631667,148.1428571,1
9.93E+14,0,13.9,0,27.3,37.16,0,11.4,0,8,0,12,14,0,10,12.82285714,6.285714286,216.3909905,37.9047619,0
9.93E+14,89.3,109.9,158.06,123.92,109.85,73.14,101.33,38,51,82,65,61,55,71,109.3571429,60.42857143,727.1646905,203.2857143,1
9.93E+14,48.67,78.09,64.83,46.18,23.5,23.18,32.41,26,21,29,19,9,10,7,45.26571429,17.28571429,433.2357619,76.23809524,1
9.93E+14,68.55,2.49,1.86,52.57,12.29,19.63,14.06,33,4,3,34,11,12,8,24.49285714,15,667.8552238,170.6666667,1
9.93E+14,27.01,36.17,32.79,90.41,29.95,77.41,60.78,20,21,22,43,14,52,31,50.64571429,29,652.5935952,191.3333333,1
9.93E+14,80.74,81.98,103.39,81.03,118.6,115.69,87.29,32,34,41,30,48,38,37,95.53142857,37.14285714,280.1540476,36.80952381,1
9.93E+14,20.05,7.5,31.79,25.79,15.81,9.06,29.71,9,2,16,8,7,2,15,19.95857143,8.428571429,93.38208095,30.95238095,1
9.93E+14,5.89,72.91,55.71,5.09,27.57,15.95,11.66,8,45,31,9,17,11,12,27.82571429,19,701.7737952,193,1
9.93E+14,9.34,0,8.68,21.7,7.51,1.87,6.21,3,0,3,10,5,2,6,7.901428571,4.142857143,49.15018095,10.47619048,1
9.93E+14,118.86,238.09,122.18,152.21,182.94,222.56,155.91,73,141,82,106,106,111,75,170.3928571,99.14285714,2163.704857,591.1428571,1
9.93E+14,10.66,19.33,0,106.49,29.63,5.37,14.8,7,16,0,39,25,5,6,26.61142857,14,1332.673581,190,1
9.93E+14,8.55,15.54,26.88,17.4,27.85,26.97,20.63,10,15,21,11,25,23,20,20.54571429,17.85714286,52.2673619,34.80952381,1
9.93E+14,85.59,86.3,127.09,173.43,145.88,101.32,174.85,64,49,76,84,69,49,89,127.78,68.57142857,1471.385267,249.6190476,1
9.93E+14,0,0,6.77,10.95,7.44,2.81,5.38,0,0,4,4,6,4,6,4.764285714,3.428571429,16.5067619,6.285714286,1
9.93E+14,6.57,125.96,53.33,86.97,54.99,56.29,31.1,6,83,32,70,50,41,25,59.31571429,43.85714286,1474.692129,698.4761905,1
9.93E+14,70.44,97.36,99.5,121.23,133.49,150.49,38.45,52,62,77,86,92,111,40,101.5657143,74.28571429,1462.298095,604.9047619,1
9.93E+14,39.42,0,1.69,0,0,0,4.6,16,0,3,0,0,0,3,6.53,3.142857143,213.2443667,34.14285714,0
9.93E+14,0,0,0,0,0,72.19,74.2,0,0,0,0,0,20,21,20.91285714,5.857142857,1275.933824,100.1428571,0
9.93E+14,35.06,53.14,91.7,33.76,42.09,23.69,15.19,23,37,48,25,27,15,9,42.09,26.28571429,627.3724,170.9047619,1
9.93E+14,0,0,0,0,82.58,22.93,59.52,0,0,0,0,48,14,20,23.57571429,11.71428571,1166.195262,323.2380952,1
9.93E+14,0,0,0,2.92,71.35,0.01,295.26,0,0,0,3,6,2,20,52.79142857,4.428571429,12128.21201,51.95238095,0
9.93E+14,133.29,124.51,91,72.61,138.81,52.27,82.06,48,43,29,31,50,17,37,99.22142857,36.42857143,1107.024281,137.2857143,1
9.93E+14,61.51,55.04,0,51.69,34.12,33.54,21.05,33,29,0,27,18,12,11,36.70714286,18.57142857,464.1743238,138.952381,1
9.93E+14,17.57,69.76,59.28,22.37,19.72,101.42,39.71,14,33,24,13,9,45,12,47.11857143,21.42857143,983.3930476,177.6190476,1
9.93E+14,0,5.53,23.68,0,0,0,19.8,0,4,5,0,0,0,3,7.001428571,1.714285714,106.703881,4.904761905,0
9.93E+14,78.76,0,233.54,123.74,144.95,202.96,157.24,62,0,155,68,82,122,100,134.4557143,84.14285714,6072.494129,2423.47619,1
9.93E+14,0,0,0,0,0,8.91,13.15,0,0,0,0,0,8,10,3.151428571,2.571428571,30.46501429,19.61904762,1
9.93E+14,253.07,359.5,263.77,259.88,167.72,229.91,84.33,49,72,44,58,39,53,17,231.1685714,47.42857143,7404.116448,292.952381,1
9.93E+14,29.7,73.96,138.89,164.23,145.93,67.23,140.44,28,48,66,93,84,42,82,108.6257143,63.28571429,2592.684562,600.2380952,1
9.93E+14,20.39,22.96,25.82,12.94,5.7,9.51,8.6,14,19,13,8,3,8,6,15.13142857,10.14285714,61.86648095,29.80952381,1
9.93E+14,0,82.66,31.61,91.76,90.59,82.35,46.44,0,35,20,40,41,38,24,60.77285714,28.28571429,1257.188057,220.9047619,1
9.93E+14,74.77,52.38,49.49,90.3,30.37,85.93,22.45,44,37,29,41,19,46,15,57.95571429,33,705.9696619,151,1
9.93E+14,0,0,1.92,9.86,0.18,11.08,9.33,0,0,5,19,2,13,14,4.624285714,7.571428571,26.8442619,58.95238095,1
9.93E+14,56.77,46.43,65.75,73.91,42.78,18.97,33.64,31,26,45,51,24,16,21,48.32142857,30.57142857,356.8740143,165.6190476,1
9.93E+14,33.25,29.46,38.33,37.84,13.58,5.27,32.48,16,18,25,16,11,5,28,27.17285714,17,162.1831905,61.33333333,1
9.93E+14,88.57,89.56,73.9,273.34,258.97,81.42,31.94,39,55,45,74,95,51,22,128.2428571,54.42857143,9272.13869,569.952381,1
9.93E+14,129.71,145.88,63.64,165.1,130.08,84.83,106.15,60,80,42,89,84,53,60,117.9128571,66.85714286,1245.730457,310.1428571,1
9.93E+14,72.16,70.5,62.61,105.11,125.89,152.26,98.91,56,44,45,72,72,85,57,98.20571429,61.57142857,1074.915229,233.6190476,1
9.93E+14,202.02,183.64,133.75,129.27,34.92,101.06,176.28,110,121,78,84,29,63,101,137.2771429,83.71428571,3287.93269,972.5714286,1
9.93E+14,106.73,109.65,179.39,107.12,46.42,145.47,120.11,59,54,79,45,25,59,62,116.4128571,54.71428571,1658.15969,276.2380952,1
9.93E+14,79.41,171.11,148.88,148.09,229.19,331.66,202.62,40,65,54,62,83,115,76,187.28,70.71428571,6290.861667,578.5714286,1
9.93E+14,56.9,112.31,94.24,123.05,80.43,113.41,65.22,30,48,56,59,36,53,35,92.22285714,45.28571429,653.7833238,132.5714286,1
9.93E+14,200.99,181.41,108.1,173.91,190.13,83.96,136.87,105,86,47,99,96,42,75,153.6242857,78.57142857,1994.335595,636.952381,1
9.93E+14,35.69,96.17,0,45.73,0,3.43,38.55,27,62,0,32,0,4,29,31.36714286,22,1204.043624,511,1
9.93E+14,0,0,0,0,0,0,16.9,0,0,0,0,0,0,14,2.414285714,2,40.80142857,28,0
9.93E+14,66.92,95.79,134.62,124.26,210.98,99.97,123.71,44,62,77,90,105,56,75,122.3214286,72.71428571,2048.350781,430.5714286,1
9.93E+14,0,0,0,0,0,187.13,83.85,0,0,0,0,0,94,32,38.71142857,18,5259.739414,1265.333333,1
9.93E+14,27.8,21.04,97.67,121.11,36.65,65.56,91.27,20,15,55,77,25,30,54,65.87142857,39.42857143,1503.469314,522.952381,1
9.93E+14,37.22,69.22,63.51,34.86,79.07,33.53,20.57,17,30,31,22,44,21,4,48.28285714,24.14285714,484.3811905,157.8095238,1
9.93E+14,33.06,21.06,3.35,26.57,14.36,27.75,20.13,19,14,5,23,10,21,18,20.89714286,15.71428571,96.38825714,41.23809524,1
9.93E+14,25.64,17.33,31.5,18.91,4.69,19.95,17.38,16,14,26,14,4,13,16,19.34285714,14.71428571,68.43612381,41.57142857,0
9.93E+14,134.95,75,102.61,28.91,106.93,48.54,52.12,50,33,47,14,53,20,24,78.43714286,34.42857143,1440.17599,246.952381,1
9.93E+14,0,0,2.01,84.06,10.96,86.86,129.61,0,0,4,47,13,46,71,44.78571429,25.85714286,2915.555929,811.8095238,1
9.93E+14,25.62,63.74,36.2,32.29,68.31,28.33,22.83,32,64,41,38,61,24,12,39.61714286,38.85714286,345.9473238,352.8095238,1
9.93E+14,3.09,3.6,0,2.43,1.66,19.21,84.99,2,2,0,3,3,4,17,16.42571429,4.428571429,955.8106952,32.28571429,1
9.93E+14,2.32,5.47,2.34,4.85,2,5.22,2.04,5,6,6,8,5,11,5,3.462857143,6.571428571,2.62862381,4.952380952,1
9.93E+14,0,21.44,0,0,0,0,1.21,0,15,0,0,0,0,2,3.235714286,2.428571429,64.6414619,31.28571429,0
9.93E+14,83,10.33,222.11,178.97,109.19,220.06,145.44,45,4,101,87,52,92,85,138.4428571,66.57142857,5949.25039,1196.952381,1
9.93E+14,0,0,0,0,0,0.37,7.13,0,0,0,0,0,2,5,1.071428571,1,7.156347619,3.666666667,1
9.93E+14,45.5,40.48,41.49,88.19,61.32,90.87,46.05,44,42,43,72,46,55,35,59.12857143,48.14285714,478.7604476,145.8095238,1
9.93E+14,1.62,4.69,6.59,10.81,16.01,23.24,30.18,3,7,6,6,14,16,23,13.30571429,10.71428571,108.8100952,51.23809524,1
9.93E+14,78.39,77.34,14,102.79,192.32,57.11,144.8,53,48,12,59,109,29,95,95.25,57.85714286,3432.648133,1175.47619,0
9.93E+14,92.6,162.89,79.27,85.46,142.11,72.88,96.88,62,91,59,60,89,53,66,104.5842857,68.57142857,1170.404629,229.6190476,1
9.93E+14,90.34,178.05,61.4,9.59,70.15,88.95,121.24,48,84,36,6,45,48,73,88.53142857,48.57142857,2732.101981,639.2857143,1
9.93E+14,37.85,130.85,38.69,30.81,87.24,83.84,37.11,26,96,24,20,65,62,28,63.77,45.85714286,1425.2237,833.4761905,1
9.93E+14,194.11,31.84,41.28,105.04,72.76,88.74,66.76,97,13,17,64,34,39,28,85.79,41.71428571,2922.691967,873.9047619,1
9.93E+14,35.83,26.42,30.55,28.91,73.89,116.14,95.72,16,18,22,7,37,55,40,58.20857143,27.85714286,1357.296914,279.1428571,1
9.93E+14,26.84,41.68,0,150.89,0,56.71,175.95,24,20,0,75,0,29,78,64.58142857,32.28571429,5034.083381,1038.238095,1
9.93E+14,23.95,58.05,93.68,12.17,70.64,53.41,75.68,16,32,38,10,28,25,30,55.36857143,25.57142857,829.6342476,92.61904762,1
9.93E+14,0,0,0,0,0,0,71.25,0,0,0,0,0,0,34,10.17857143,4.857142857,725.2232143,165.1428571,0
9.93E+14,11.99,73.26,46.11,70.82,27.41,13.33,2.35,4,35,28,36,18,12,3,35.03857143,19.42857143,832.166881,192.6190476,1
9.93E+14,0,0,30.13,99.31,16.21,42.5,99.97,0,0,10,21,4,9,20,41.16,9.142857143,1829.048133,75.47619048,1
9.93E+14,34.21,20.87,89.26,0,39.66,36.42,30.5,25,18,45,0,23,27,26,35.84571429,23.42857143,734.7339952,177.6190476,1
9.93E+14,0,0,15.73,18.55,22.07,3.66,8.73,0,0,7,12,12,2,6,9.82,5.571428571,82.20033333,26.61904762,1
9.93E+14,0,0,16.85,24.17,21.3,21.64,36.9,0,0,10,10,15,16,22,17.26571429,10.42857143,177.4944619,67.28571429,1
9.93E+14,0,0,20.5,89.79,10.92,39.62,22.45,0,0,12,43,11,25,13,26.18285714,14.85714286,979.4488905,227.1428571,1
9.93E+14,2.4,5.46,8.66,16.61,0,0,21.73,5,5,11,9,0,0,20,7.837142857,7.142857143,71.45109048,49.14285714,0
9.93E+14,92.36,83.75,95.1,84.3,73.92,127.02,50.58,56,61,64,61,45,60,37,86.71857143,54.85714286,535.123481,100.4761905,1
9.93E+14,2.67,0,0.31,0,8.85,0,62.69,6,0,2,0,6,0,46,10.64571429,8.571428571,537.0441619,279.6190476,0
9.93E+14,40.93,0,7.35,36.91,3.17,0,53.9,23,0,7,24,4,0,23,20.32285714,11.57142857,519.2941238,126.952381,0
9.93E+14,21.88,62.27,18.84,47.13,64.08,72.47,69.28,18,41,7,33,40,47,42,50.85,32.57142857,498.3796667,214.952381,1
9.93E+14,22.05,12.71,41.18,27.27,0,85.02,25.79,16,12,39,6,0,44,24,30.57428571,20.14285714,739.5346286,271.4761905,1
9.93E+14,36.62,68.33,82.21,27.01,48.09,55.91,58.22,27,45,56,24,34,45,41,53.77,38.85714286,347.9486333,126.4761905,1
9.93E+14,0,31.81,28.7,55.44,4.81,49.76,27.44,0,17,13,18,4,15,15,28.28,11.71428571,427.1663667,47.9047619,0
9.93E+14,83.47,87.92,10,128.46,133.48,42.7,132.84,50,49,6,74,69,25,60,88.41,47.57142857,2311.918033,592.952381,1
9.93E+14,37.71,85.34,75.5,78.38,78.63,54.81,38.16,24,34,58,53,40,32,27,64.07571429,38.28571429,408.6254286,166.2380952,1
9.93E+14,0,0,8.41,22.87,19.92,6.32,35.9,0,0,8,20,14,7,12,13.34571429,8.714285714,178.7611952,53.57142857,1
9.93E+14,167.04,204.19,166.04,162.96,174.08,177.1,216.72,118,138,116,96,102,104,125,181.1614286,114.1428571,436.788881,214.1428571,1
9.93E+14,21.13,52.48,19.61,0,0,0.8,3.35,18,29,9,0,0,3,3,13.91,8.857142857,373.7708667,119.1428571,0
9.93E+14,34.17,40.45,24.02,32.73,43.09,98,33.7,30,30,30,27,43,63,30,43.73714286,36.14285714,609.6465238,167.1428571,1
9.93E+14,0,0,0,0,0,31.27,12.3,0,0,0,0,0,23,2,6.224285714,3.571428571,142.9851286,73.95238095,0
9.93E+14,180.09,206.99,60.04,72.16,79.6,67.51,53.86,64,71,45,61,50,53,52,102.8928571,56.57142857,3962.53579,82.28571429,1
9.93E+14,0,0,0,0,0,36.06,81.64,0,0,0,0,0,20,55,16.81428571,10.71428571,997.7286286,436.9047619,1
9.93E+14,3.91,43.44,5,5.5,6.51,0,2.25,5,24,6,4,5,0,3,9.515714286,6.714285714,228.5287619,61.9047619,1
9.93E+14,91.51,0,104.12,74.53,61.49,37.21,103.61,43,0,56,43,24,19,56,67.49571429,34.42857143,1463.451929,434.952381,0
9.93E+14,0,0,0,0,0,1.09,0.98,0,0,0,0,0,2,2,0.295714286,0.571428571,0.256061905,0.952380952,0
9.93E+14,86.37,20.07,47.35,12.82,56.92,35.78,25.94,34,10,31,8,25,14,12,40.75,19.14285714,639.6662667,113.4761905,1
9.93E+14,0,0,0,0,0,0,5.69,0,0,0,0,0,0,6,0.812857143,0.857142857,4.625157143,5.142857143,0
9.93E+14,0,0,0,0,20.78,28.02,24.92,0,0,0,0,11,21,20,10.53142857,7.428571429,176.926381,95.95238095,1
9.93E+14,128.08,197.83,141.37,210.75,136.95,132.19,107,89,115,88,109,70,71,65,150.5957143,86.71428571,1477.874862,383.5714286,1
9.93E+14,51.55,56.52,84.87,73.4,72.58,59.5,80.2,29,27,43,47,45,38,46,68.37428571,39.28571429,159.5392619,68.23809524,1
9.93E+14,127.74,110.35,78.69,77.73,110.01,98.01,218.56,74,72,43,57,62,62,98,117.2985714,66.85714286,2315.441481,293.4761905,1
9.93E+14,138.96,183.34,257.09,239.08,237.19,166.47,155.42,137,170,121,161,201,130,98,196.7928571,145.4285714,2202.114124,1181.619048,1
9.93E+14,20.15,45.45,5.22,22.98,30.51,16.03,13.32,13,19,6,5,20,8,6,21.95142857,11,169.8734476,40.66666667,1
9.93E+14,7.92,7.22,23,3.61,20.98,17.65,22.46,2,5,7,3,13,11,8,14.69142857,7,67.02581429,16.33333333,1
9.93E+14,0,0,32.11,23.37,9.46,0,44,0,0,22,9,7,0,28,15.56285714,9.428571429,317.8804905,129.2857143,0
9.93E+14,68.56,84.45,56.9,68.89,99.06,65.72,85.18,57,76,54,85,118,77,91,75.53714286,79.71428571,210.3888238,469.9047619,1
9.93E+14,2.78,29.62,45.78,67.19,61.23,49.9,62.16,3,19,38,58,39,30,45,45.52285714,33.14285714,515.3420238,322.4761905,1
9.93E+14,150.25,13.39,19.05,20.46,63.35,45.2,22.69,70,12,11,15,46,29,17,47.77,28.57142857,2355.526167,486.952381,1
9.93E+14,8.36,4.59,9.08,25.34,5.55,3.02,6.25,5,5,7,14,2,4,5,8.884285714,6,56.9985619,14.66666667,1
9.93E+14,25.8,135.09,68.6,68.67,17.3,110.96,63.46,9,64,21,30,9,41,25,69.98285714,28.42857143,1781.976357,374.6190476,1
9.93E+14,0,0,0,0,59.96,106.09,60.06,0,0,0,0,21,48,28,32.30142857,13.85714286,1858.969548,364.1428571,1
9.93E+14,23.35,4.39,13.48,20.6,12.13,33.36,30.6,16,6,9,14,13,15,15,19.70142857,12.57142857,108.3212476,13.61904762,0
9.93E+14,51.94,2.41,12.05,84.24,58.35,72.08,77.91,39,3,12,55,45,53,51,51.28285714,36.85714286,1034.308124,437.4761905,1
9.93E+14,61.34,60.35,76.69,48.83,25.99,92.17,75.57,48,43,56,37,20,50,48,62.99142857,43.14285714,462.7694143,138.8095238,1
9.93E+14,120.6,138.98,101.39,169.88,197.58,120.53,127.41,42,62,50,69,81,59,58,139.4814286,60.14285714,1102.018314,159.1428571,1
9.93E+14,99.96,106.76,59.53,97.97,147.32,160.21,52.13,77,70,39,62,93,84,36,103.4114286,65.85714286,1627.023248,472.4761905,1
9.93E+14,0,0,0,0,0,0,5.8,0,0,0,0,0,0,5,0.828571429,0.714285714,4.805714286,3.571428571,0
9.93E+14,52.78,63.82,49.76,30.89,70.7,47.16,34.88,42,47,34,26,39,25,25,49.99857143,34,204.8567476,80.66666667,1
9.93E+14,56.9,50.07,61.53,78.89,33.38,22.7,13.28,60,53,55,77,35,22,13,45.25,45,537.8538667,511,1
9.93E+14,64.39,250.54,173.46,250.28,226.33,221.86,140.62,40,137,83,117,91,91,74,189.64,90.42857143,4687.103233,957.2857143,1
9.93E+14,9.45,12.19,11.03,13.58,20.58,14.95,2.5,4,10,9,10,7,14,4,12.04,8.285714286,30.42226667,12.9047619,1
9.93E+14,0,0,0,0,0,0,6.27,0,0,0,0,0,0,2,0.895714286,0.285714286,5.616128571,0.571428571,0
9.93E+14,161.11,153.09,188.72,155.13,166.94,141.59,106.32,83,97,81,71,90,73,59,153.2714286,79.14285714,641.5423143,160.8095238,1
9.93E+14,0,0,0,0,0,0,13.46,0,0,0,0,0,0,8,1.922857143,1.142857143,25.88165714,9.142857143,0
9.93E+14,10.23,4.65,15.29,2.28,24.33,7.33,50.01,8,7,12,3,7,6,25,16.30285714,9.714285714,275.2422905,52.57142857,1
9.93E+14,0.54,24.39,2.27,7.59,19.93,17.96,15.68,2,16,3,5,13,8,10,12.62285714,8.142857143,84.69965714,27.14285714,1
9.93E+14,0,0,0,0,0,14.03,45.56,0,0,0,0,0,10,26,8.512857143,5.142857143,294.2122238,98.47619048,1
9.93E+14,100.55,133.19,130.63,107.27,85.5,109.43,61.13,77,86,84,78,71,71,46,103.9571429,73.28571429,632.2278905,177.9047619,1
9.93E+14,123.75,110.28,109.88,123.62,68.86,112.24,118.48,48,58,61,60,50,64,54,109.5871429,56.42857143,357.1490238,35.28571429,1
